model,fz_depth,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,13,1,100,2019-02-27 15:06,1.1790900501778456,0.5760924796747967,0.01,sgd,cross_entropy,526,117,82,104,588,2409,773,671,6,3,0,3,266,327,351,1600
AlexNet,13,2,100,2019-02-27 15:10,1.111698677869347,0.6308434959349594,0.01,sgd,cross_entropy,882,205,124,191,288,2409,696,512,0,0,0,0,216,242,386,1675
AlexNet,13,3,100,2019-02-27 15:14,1.0836251111534554,0.6585365853658537,0.01,sgd,cross_entropy,973,220,141,194,211,2370,581,442,39,63,160,61,163,203,324,1681
AlexNet,13,4,100,2019-02-27 15:20,1.052911153653773,0.6980436991869918,0.01,sgd,cross_entropy,1006,150,99,170,152,2351,430,392,98,171,530,208,130,184,147,1608
AlexNet,13,5,100,2019-02-27 15:25,1.036094541472148,0.709984756097561,0.01,sgd,cross_entropy,1026,158,78,177,146,2354,399,365,105,163,605,232,109,181,124,1604
AlexNet,13,6,100,2019-02-27 15:31,1.026222291031504,0.7192581300813008,0.01,sgd,cross_entropy,1039,160,94,166,140,2374,380,349,100,160,586,200,107,162,146,1663
AlexNet,13,7,100,2019-02-27 15:36,1.0156985647310086,0.7305640243902439,0.01,sgd,cross_entropy,1063,155,77,166,123,2397,361,346,95,155,640,215,105,149,128,1651
AlexNet,13,8,100,2019-02-27 15:41,1.0045530737900152,0.741869918699187,0.01,sgd,cross_entropy,1087,146,73,152,104,2405,341,325,98,146,651,204,97,159,141,1697
AlexNet,13,9,100,2019-02-27 15:46,1.0034571081642214,0.7430132113821138,0.01,sgd,cross_entropy,1087,132,82,160,111,2429,353,345,102,133,654,194,86,162,117,1679
AlexNet,13,10,100,2019-02-27 15:51,0.9903722003223451,0.7572408536585366,0.01,sgd,cross_entropy,1109,139,69,132,99,2452,322,309,74,116,694,231,104,149,121,1706
AlexNet,13,11,100,2019-02-27 15:56,0.9844983108644563,0.759400406504065,0.01,sgd,cross_entropy,1118,121,87,167,91,2461,319,309,84,138,687,190,93,136,113,1712
AlexNet,13,12,100,2019-02-27 16:00,0.9818944543357787,0.7610518292682927,0.01,sgd,cross_entropy,1131,110,80,136,88,2468,314,324,69,130,695,221,98,148,117,1697
AlexNet,13,13,100,2019-02-27 16:05,0.9790736252699441,0.766260162601626,0.01,sgd,cross_entropy,1138,106,76,138,81,2466,307,318,69,131,717,211,98,153,106,1711
AlexNet,13,14,100,2019-02-27 16:10,0.9727386846774961,0.773755081300813,0.01,sgd,cross_entropy,1143,119,76,128,95,2484,312,300,71,117,713,199,77,136,105,1751
AlexNet,13,15,100,2019-02-27 16:15,0.9688905545366489,0.7775660569105691,0.01,sgd,cross_entropy,1179,125,68,148,69,2450,285,283,57,129,747,202,81,152,106,1745
AlexNet,13,16,100,2019-02-27 16:20,0.9641806129517594,0.7765497967479674,0.01,sgd,cross_entropy,1143,102,77,133,81,2506,294,297,73,115,718,202,89,133,117,1746
AlexNet,13,17,100,2019-02-27 16:25,0.9592832239662729,0.7884908536585366,0.01,sgd,cross_entropy,1185,101,76,125,74,2525,292,307,37,99,724,173,90,131,114,1773
AlexNet,13,18,100,2019-02-27 16:31,0.9551099451576791,0.7910315040650406,0.01,sgd,cross_entropy,1183,94,53,126,78,2517,279,285,48,101,755,195,77,144,119,1772
AlexNet,13,19,100,2019-02-27 16:36,0.9523683253342543,0.7935721544715447,0.01,sgd,cross_entropy,1200,103,64,126,73,2503,273,275,52,103,750,183,61,147,119,1794
AlexNet,13,20,100,2019-02-27 16:41,0.9476988257431402,0.7966209349593496,0.01,sgd,cross_entropy,1205,102,72,117,75,2512,275,268,43,107,741,180,63,135,118,1813
AlexNet,13,21,100,2019-02-27 16:46,0.9447568567787729,0.803099593495935,0.01,sgd,cross_entropy,1222,95,62,133,65,2541,258,267,27,96,756,175,72,124,130,1803
AlexNet,13,22,100,2019-02-27 16:51,0.9401202938420986,0.8044969512195121,0.01,sgd,cross_entropy,1203,89,59,118,68,2540,275,265,43,107,772,177,72,120,100,1818
AlexNet,13,23,100,2019-02-27 16:56,0.9375944680314723,0.8081808943089431,0.01,sgd,cross_entropy,1201,78,57,104,70,2550,270,255,40,91,758,166,75,137,121,1853
AlexNet,13,24,100,2019-02-27 17:01,0.9359388273905932,0.8105945121951219,0.01,sgd,cross_entropy,1211,83,55,110,76,2559,254,261,34,95,772,168,65,119,125,1839
AlexNet,13,25,100,2019-02-27 17:06,0.9326927991417365,0.8122459349593496,0.01,sgd,cross_entropy,1213,76,60,114,65,2549,259,241,36,100,759,150,72,131,128,1873
AlexNet,13,26,100,2019-02-27 17:11,0.9267988747697535,0.8213922764227642,0.01,sgd,cross_entropy,1223,73,47,125,58,2568,243,240,40,86,804,142,65,129,112,1871
AlexNet,13,27,100,2019-02-27 17:17,0.9249954223632812,0.8230436991869918,0.01,sgd,cross_entropy,1232,74,52,115,53,2571,246,250,39,95,807,144,62,116,101,1869
AlexNet,13,28,100,2019-02-27 17:22,0.9186517358795414,0.828125,0.01,sgd,cross_entropy,1231,77,53,99,61,2564,225,234,19,88,801,122,75,127,127,1923
AlexNet,13,29,100,2019-02-27 17:27,0.9202520479031695,0.8246951219512195,0.01,sgd,cross_entropy,1230,66,58,103,56,2560,247,225,37,95,780,128,63,135,121,1922
AlexNet,13,30,100,2019-02-27 17:32,0.9152316581912157,0.8319359756097561,0.01,sgd,cross_entropy,1238,63,43,101,61,2574,236,219,33,85,802,123,54,134,125,1935
AlexNet,13,31,100,2019-02-27 17:37,0.916096757097942,0.8310467479674797,0.01,sgd,cross_entropy,1236,84,53,101,56,2549,228,199,29,90,799,120,65,133,126,1958
AlexNet,13,32,100,2019-02-27 17:42,0.9082171432371062,0.8393038617886179,0.01,sgd,cross_entropy,1245,62,53,98,57,2585,220,204,19,81,813,112,65,128,120,1964
AlexNet,13,33,100,2019-02-27 17:47,0.9049199422200521,0.8412093495934959,0.01,sgd,cross_entropy,1256,68,52,85,56,2574,228,200,21,79,811,112,53,135,115,1981
AlexNet,13,34,100,2019-02-27 17:52,0.9041552659941883,0.844385162601626,0.01,sgd,cross_entropy,1249,69,52,99,54,2576,224,167,21,81,808,98,62,130,122,2014
AlexNet,13,35,100,2019-02-27 17:57,0.9015608376603785,0.8457825203252033,0.01,sgd,cross_entropy,1244,64,39,83,64,2580,226,175,21,77,820,106,57,135,121,2014
AlexNet,13,36,100,2019-02-27 18:02,0.8966202154392149,0.8497205284552846,0.01,sgd,cross_entropy,1237,57,39,85,59,2595,224,159,33,74,824,101,57,130,119,2033
AlexNet,13,37,100,2019-02-27 18:08,0.8955389503541031,0.8520071138211383,0.01,sgd,cross_entropy,1253,58,49,89,53,2593,218,160,25,75,828,96,55,130,111,2033
AlexNet,13,38,100,2019-02-27 18:13,0.8965810760249936,0.8478150406504065,0.01,sgd,cross_entropy,1247,72,45,73,67,2568,215,165,16,75,829,110,56,141,117,2030
AlexNet,13,39,100,2019-02-27 18:18,0.889686026224276,0.8597560975609756,0.01,sgd,cross_entropy,1268,56,38,82,52,2608,209,144,22,78,849,109,44,114,110,2043
AlexNet,13,40,100,2019-02-27 18:23,0.8876001001373539,0.8601371951219512,0.01,sgd,cross_entropy,1258,58,44,68,50,2596,218,137,25,68,837,93,53,134,107,2080
AlexNet,13,41,100,2019-02-27 18:28,0.8851964686944233,0.8630589430894309,0.01,sgd,cross_entropy,1266,63,38,87,50,2612,199,146,22,75,858,87,48,106,111,2058
AlexNet,13,42,100,2019-02-27 18:33,0.8870678413205031,0.8569613821138211,0.01,sgd,cross_entropy,1251,56,47,94,54,2603,205,140,22,74,845,97,59,123,109,2047
AlexNet,13,43,100,2019-02-27 18:38,0.8849364490043826,0.8607723577235772,0.01,sgd,cross_entropy,1260,59,50,69,50,2602,195,155,22,82,863,103,54,113,98,2051
AlexNet,13,44,100,2019-02-27 18:43,0.8843221276756225,0.8619156504065041,0.01,sgd,cross_entropy,1267,55,46,69,45,2604,214,149,25,63,853,99,49,134,93,2061
AlexNet,13,45,100,2019-02-27 18:49,0.8822453196455793,0.8635670731707317,0.01,sgd,cross_entropy,1259,55,46,68,49,2609,202,141,25,75,850,89,53,117,108,2080
AlexNet,13,46,100,2019-02-27 18:54,0.8812837057966527,0.8631859756097561,0.01,sgd,cross_entropy,1268,53,45,81,53,2594,191,134,18,85,869,99,47,124,101,2064
AlexNet,13,47,100,2019-02-27 18:59,0.8780637911664761,0.8678861788617886,0.01,sgd,cross_entropy,1271,52,42,76,46,2617,198,133,20,79,859,84,49,108,107,2085
AlexNet,13,48,100,2019-02-27 19:04,0.8766276661942645,0.8667428861788617,0.01,sgd,cross_entropy,1271,49,37,74,47,2612,209,129,23,67,847,82,45,128,113,2093
AlexNet,13,49,100,2019-02-27 19:09,0.8729141359406758,0.8739837398373984,0.01,sgd,cross_entropy,1272,48,45,61,50,2642,204,131,19,63,856,76,45,103,101,2110
AlexNet,13,50,100,2019-02-27 19:14,0.8717466524946011,0.8729674796747967,0.01,sgd,cross_entropy,1263,54,35,77,41,2632,188,121,25,68,879,82,57,102,104,2098
AlexNet,13,51,100,2019-02-27 19:19,0.8747673344805957,0.868140243902439,0.01,sgd,cross_entropy,1266,50,38,73,44,2615,199,126,26,73,869,95,50,118,100,2084
AlexNet,13,52,100,2019-02-27 19:24,0.8701047199528392,0.8770325203252033,0.01,sgd,cross_entropy,1281,46,30,74,42,2653,209,123,20,64,865,76,43,93,102,2105
AlexNet,13,53,100,2019-02-27 19:29,0.8732003933045922,0.8697916666666666,0.01,sgd,cross_entropy,1278,52,43,76,51,2608,193,130,18,73,881,92,39,123,89,2080
AlexNet,13,54,100,2019-02-27 19:34,0.8655661606207127,0.8821138211382114,0.01,sgd,cross_entropy,1283,47,32,67,45,2642,190,102,17,69,895,85,41,98,89,2124
AlexNet,13,55,100,2019-02-27 19:39,0.8673973393634082,0.8769054878048781,0.01,sgd,cross_entropy,1286,48,47,68,42,2623,190,113,16,72,879,82,42,113,90,2115
AlexNet,13,56,100,2019-02-27 19:44,0.8660494796628875,0.8785569105691057,0.01,sgd,cross_entropy,1279,41,52,69,44,2642,176,112,21,63,885,87,42,110,93,2110
AlexNet,13,57,100,2019-02-27 19:49,0.8652730181934388,0.8795731707317073,0.01,sgd,cross_entropy,1274,42,38,66,51,2655,174,125,24,61,898,90,37,98,96,2097
AlexNet,13,58,100,2019-02-27 19:54,0.8631657546128684,0.8817327235772358,0.01,sgd,cross_entropy,1277,43,31,58,51,2640,185,114,20,66,904,86,38,107,86,2120
AlexNet,13,59,100,2019-02-27 19:59,0.8636674338239965,0.8823678861788617,0.01,sgd,cross_entropy,1278,48,39,54,36,2648,172,116,17,63,896,84,55,97,99,2124
AlexNet,13,60,100,2019-02-27 20:04,0.8625080759932355,0.8819867886178862,0.01,sgd,cross_entropy,1281,42,35,60,44,2632,164,117,18,76,912,83,43,106,95,2118
AlexNet,13,61,100,2019-02-27 20:11,0.8618580887957317,0.8828760162601627,0.01,sgd,cross_entropy,1278,49,39,63,50,2640,178,98,22,71,895,80,36,96,94,2137
AlexNet,13,62,100,2019-02-27 20:18,0.8592610553028138,0.8847815040650406,0.01,sgd,cross_entropy,1283,49,38,63,41,2653,174,98,26,59,907,95,36,95,87,2122
AlexNet,13,63,100,2019-02-27 20:26,0.8603446154090447,0.8851626016260162,0.01,sgd,cross_entropy,1283,45,34,61,37,2641,165,113,15,67,909,69,51,103,98,2135
AlexNet,13,64,100,2019-02-27 20:33,0.8559152246490727,0.891260162601626,0.01,sgd,cross_entropy,1292,42,34,56,42,2665,173,99,17,62,915,79,35,87,84,2144
AlexNet,13,65,100,2019-02-27 20:42,0.8578969443716654,0.885670731707317,0.01,sgd,cross_entropy,1276,39,35,52,50,2651,153,118,15,78,915,78,45,88,103,2130
AlexNet,13,66,100,2019-02-27 20:49,0.8555634661418635,0.889989837398374,0.01,sgd,cross_entropy,1292,44,33,64,41,2665,156,110,17,54,918,73,36,93,99,2131
AlexNet,13,67,100,2019-02-27 20:58,0.8520539446574885,0.8949441056910569,0.01,sgd,cross_entropy,1292,42,31,57,35,2672,158,99,20,55,931,72,39,87,86,2150
AlexNet,13,68,100,2019-02-27 21:05,0.8550488231627922,0.8902439024390244,0.01,sgd,cross_entropy,1290,42,35,65,38,2662,163,96,23,71,922,83,35,81,86,2134
